Filters:
"In program","'Residential/Community Developer'"


"Parcel ID","Address","Owners"
="16234030020000","1609 S TRUMBULL AVE, Chicago, IL, 60623","-"
="15152340550000","1610 N MAYWOOD DR, Maywood, IL, 60153","-"
="16234020260000","1616 S TRUMBULL AVE, Chicago, IL, 60623","-"
="16224050310000","1620 S KARLOV AVE, Chicago, IL, 60623","-"
="16224060300000","1632 S KOMENSKY AVE, Chicago, IL, 60623","-"
="16234010150000","1641 S DRAKE AVE, Chicago, IL, 60623","-"
="16224050260000","1655 S KEDVALE AVE, Chicago, IL, 60623","-"
="20302050080000","1711 W 71ST ST, Chicago, IL, 60636","-"
="20194290400000","1712 W 71ST ST, Chicago, IL, 60636","-"
="20304330320000","1724 W 79TH ST, Chicago, IL, 60620","-"
="16234090010000","1801 S SAINT LOUIS AVE, Chicago, IL, 60623","-"
="15041070360000","1808 N 33RD AVE, Stone Park, IL, 60165","-"
="16234140100000","1819 S SAWYER AVE, Chicago, IL, 60623","-"
="16234140150000","1831 S SAWYER AVE, Chicago, IL, 60623","-"
="16234080120000","1833 S DRAKE AVE, Chicago, IL, 60623","-"
="16234000810000","1834 S DRAKE AVE, Chicago, IL, 60623","-"
="16234140170000","1835 S SAWYER AVE, Chicago, IL, 60623","-"
="16233100330000","1838 S AVERS AVE, Chicago, IL, 60623","-"
="16234140180000","1839 S SAWYER AVE, Chicago, IL, 60623","-"
="16233120420000","1840 S RIDGEWAY AVE, Chicago, IL, 60623","-"
="16234140200000","1843 S SAWYER AVE, Chicago, IL, 60623","-"
="16234140210000","1845 S SAWYER AVE, Chicago, IL, 60623","-"
